Название модели;Характеристика;Стоимость
Mercedes-Benz CLS  II (C218) Рестайлинг 400;3.0 л / 333 л.с. / Бензин;2 650 000 ₽
Mercedes-Benz G-Класс AMG  I (W463) Рестайлинг 2 63 AMG;автомат;4 250 000 ₽
Mercedes-Benz V-Класс L II 250 d длинный;седан;3 400 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 200;полный;3 450 000 ₽
Mercedes-Benz GLC Coupe  I (C253) 220 d;чёрный;3 519 000 ₽
Mercedes-Benz S-Класс  VI (W222, C217) Рестайлинг 560;5.5 л / 544 л.с. / Бензин;6 219 000 ₽
Mercedes-Benz CLS  III (C257) 350 d;автомат;4 739 000 ₽
Mercedes-Benz GLE  I (W166) 250 d;внедорожник 5 дв.;3 649 000 ₽
Mercedes-Benz Maybach S-Класс  I (X222) 500;полный;4 345 000 ₽
Mercedes-Benz CLS  III (C257) 350 d;чёрный;4 717 000 ₽
Mercedes-Benz GLS  I (X166) 350 d;2.1 л / 190 л.с. / Дизель;3 535 000 ₽
Mercedes-Benz GLA  I (X156) Рестайлинг 200;автомат;2 369 000 ₽
Mercedes-Benz GLE Coupe  I (C292) 350 d;минивэн;4 929 000 ₽
Mercedes-Benz CLC-Класс  180;полный;495 000 ₽
Mercedes-Benz GLE  I (W166) 350 d;чёрный;4 247 000 ₽
Mercedes-Benz C-Класс  IV (W205) Рестайлинг 200;2.0 л / 184 л.с. / Бензин;2 297 000 ₽
Mercedes-Benz M-Класс  III (W166) 300;автомат;2 837 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 200;седан;2 857 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 200;полный;3 689 000 ₽
Mercedes-Benz G-Класс AMG  I (W463) Рестайлинг 3 63 AMG;чёрный;2 757 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 220 d;2.1 л / 170 л.с. / Дизель;3 129 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 400;автомат;3 063 000 ₽
Mercedes-Benz S-Класс Long VI (W222, C217) 500 Long;внедорожник 5 дв.;3 227 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 400;полный;1 345 000 ₽
Mercedes-Benz GLA  I (X156) 250;синий;1 399 000 ₽
Mercedes-Benz E-Класс  IV (W212, S212, C207) 200 7G-Tronic;4.0 л / 469 л.с. / Бензин;360 000 ₽
Mercedes-Benz S-Класс  IV (W220) 320;автомат;20 330 000 ₽
Mercedes-Benz V-Класс XL II 250 d экстра длинный;седан;1 595 000 ₽
Mercedes-Benz S-Класс Long V (W221) Рестайлинг 350 Long;полный;725 000 ₽
Mercedes-Benz C-Класс  II (W203) Рестайлинг 180;чёрный;4 283 000 ₽
Mercedes-Benz E-Класс  V (W213, S213, C238) 400;2.9 л / 249 л.с. / Дизель;1 226 000 ₽
Mercedes-Benz S-Класс Long V (W221) Рестайлинг 500 Long;автомат;598 000 ₽
Mercedes-Benz B-Класс  I (W245) Рестайлинг 180;седан;175 000 ₽
Mercedes-Benz C-Класс  II (W203) 200;полный;1 468 000 ₽
Mercedes-Benz GLK-Класс  I (X204) Рестайлинг 300;чёрный;1 435 000 ₽
Mercedes-Benz C-Класс  IV (W205) 180;2.1 л / 204 л.с. / Дизель;2 750 000 ₽
Mercedes-Benz GL-Класс  II (X166) 350 CDI BlueTEC;автомат;5 995 000 ₽
